Camera Details,Rating,Warranty,is_5G,Storage_expandable,RAM_in_GB,ROM_in_GB,Display_type,Display_size_in_inch,Rear_camera_in_MP,Front_camera_in_MP,Battery_capacity_in_mAh,Processor_brand,Total_Ratings,Total_Reviews,product_brand
104,4.2,1.0,1,0,4.0,64.0,6,6.74,50.0,5.0,5000.0,0,106757.0,5165.0,11
104,4.2,1.0,1,0,4.0,64.0,6,6.74,50.0,5.0,5000.0,0,106757.0,5165.0,11
131,4.1,1.0,0,0,4.0,64.0,6,6.71,8.0,5.0,5000.0,1,50023.0,1843.0,11
131,4.1,1.0,0,0,4.0,64.0,6,6.71,8.0,5.0,5000.0,1,50023.0,1843.0,11
104,4.2,1.0,1,0,4.0,64.0,6,6.74,50.0,5.0,5000.0,0,106757.0,5165.0,11
131,4.1,1.0,0,0,4.0,64.0,6,6.71,8.0,5.0,5000.0,1,50023.0,1843.0,11
6,4.2,1.0,1,0,8.0,128.0,3,6.67,108.0,16.0,5000.0,0,26752.0,1988.0,11
6,4.2,1.0,1,0,8.0,128.0,3,6.67,108.0,16.0,5000.0,0,26752.0,1988.0,11
104,4.3,1.0,1,0,6.0,128.0,6,6.74,50.0,5.0,5000.0,0,43111.0,2239.0,11
97,4.3,1.0,0,0,4.0,128.0,6,6.74,50.0,8.0,5000.0,1,90262.0,4518.0,11
104,4.3,1.0,1,0,6.0,128.0,6,6.74,50.0,5.0,5000.0,0,43111.0,2239.0,11
5,4.2,1.0,1,0,6.0,128.0,3,6.79,108.0,13.0,5030.0,3,17405.0,1038.0,11
6,4.2,1.0,1,0,8.0,128.0,3,6.67,108.0,16.0,5000.0,0,26752.0,1988.0,11
5,4.2,1.0,1,0,6.0,128.0,3,6.79,108.0,13.0,5030.0,3,17405.0,1038.0,11
104,4.3,1.0,1,0,6.0,128.0,6,6.74,50.0,5.0,5000.0,0,43111.0,2239.0,11
5,4.2,1.0,1,0,6.0,128.0,3,6.79,108.0,13.0,5030.0,3,17405.0,1038.0,11
120,4.3,1.0,1,0,12.0,256.0,0,6.67,64.0,16.0,5100.0,3,8892.0,788.0,11
120,4.3,1.0,1,0,12.0,512.0,0,6.67,64.0,16.0,5100.0,3,8892.0,788.0,11
120,4.3,1.0,1,0,12.0,512.0,0,6.67,64.0,16.0,5100.0,3,8892.0,788.0,11
5,4.2,1.0,1,0,8.0,128.0,3,6.79,108.0,13.0,5030.0,3,3301.0,201.0,11
56,4.3,1.0,1,0,8.0,256.0,0,6.67,50.0,20.0,5000.0,3,8514.0,764.0,11
