Product_name,Price,Storage,Display_size,Camera Details,Battery,Rating,Processor,Warranty,Overall_Review
"realme Narzo 60X 5G (Stellar Green, 128 GB)","₹9,999",6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP Rear Camera,5000 mAh Battery,4.3,Not Available,Domestic Warranty 1 Year For Handset and 6 Months For Accessories.,"9,143 Ratings & 504 Reviews"
"realme 6i (Lunar White, 64 GB)","₹15,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,4.4,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"60,908 Ratings & 6,253 Reviews"
"realme C33 2023 (Night Sea, 64 GB)","₹24,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,4.4,Unisoc T612 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"24,499 Ratings & 881 Reviews"
"realme C33 2023 (Aqua Blue, 64 GB)","₹12,390",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,4.4,Unisoc T612 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"24,499 Ratings & 881 Reviews"
"realme 6i (Eclipse Black, 64 GB)","₹13,499",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,4.4,MediaTek Helio G90T Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"88,342 Ratings & 7,673 Reviews"
"realme 11 Pro 5G (Astral Black, 256 GB)","₹27,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh Battery,4.4,Dimensity 7050 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"95,020 Ratings & 7,129 Reviews"
"realme Narzo N53 (Feather Black, 128 GB)","₹10,999",6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,4.2,Not Available,Not Available,"5,151 Ratings & 249 Reviews"
"realme NARZO 50A PRIME (FLASH BLUE, 64 GB)","₹10,499",4 GB RAM | 64 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,4.1,Not Available,Not Available,"1,787 Ratings & 81 Reviews"
"realme 11 Pro 5G (Sunrise Beige, 256 GB)","₹15,990",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh Battery,4.3,Dimensity 7050 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"1,932 Ratings & 171 Reviews"
"realme C12 (Power Silver, 32 GB)","₹10,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,6000 mAh Lithium-ion Battery,4.4,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"3,25,768 Ratings & 19,206 Reviews"
"realme C33 2023 (Aqua Blue, 128 GB)","₹8,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,4.4,Unisoc T612 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"24,499 Ratings & 881 Reviews"
"realme Narzo 50 (Speed Blue, 128 GB)","₹19,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,4.3,Mediatek Helio G96 Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"14,392 Ratings & 902 Reviews"
